"id",".pred_class"
6001,"High"
6002,"High"
6003,"High"
6004,"Low"
6005,"High"
6006,"High"
6007,"High"
6008,"Low"
6009,"High"
6010,"High"
6011,"High"
6012,"Low"
6013,"Low"
6014,"Low"
6015,"High"
6016,"High"
6017,"Low"
6018,"High"
6019,"High"
6020,"High"
6021,"High"
6022,"High"
6023,"Low"
6024,"High"
6025,"High"
6026,"High"
6027,"High"
6028,"High"
6029,"High"
6030,"High"
6031,"Low"
6032,"Low"
6033,"High"
6034,"High"
6035,"Low"
6036,"Low"
6037,"High"
6038,"High"
6039,"High"
6040,"High"
6041,"High"
6042,"High"
6043,"High"
6044,"Low"
6045,"High"
6046,"Low"
6047,"Low"
6048,"Low"
6049,"High"
6050,"High"
6051,"High"
6052,"High"
6053,"Low"
6054,"Low"
6055,"Low"
6056,"High"
6057,"High"
6058,"High"
6059,"Low"
6060,"High"
6061,"High"
6062,"High"
6063,"Low"
6064,"Low"
6065,"Low"
6066,"High"
6067,"Low"
6068,"High"
6069,"High"
6070,"High"
6071,"High"
6072,"Low"
6073,"High"
6074,"Low"
6075,"Low"
6076,"Low"
6077,"High"
6078,"High"
6079,"Low"
6080,"High"
6081,"Low"
6082,"High"
6083,"Low"
6084,"High"
6085,"Low"
6086,"High"
6087,"Low"
6088,"High"
6089,"High"
6090,"Low"
6091,"High"
6092,"Low"
6093,"High"
6094,"Low"
6095,"High"
6096,"High"
6097,"High"
6098,"High"
6099,"Low"
6100,"High"
6101,"Low"
6102,"Low"
6103,"Low"
6104,"Low"
6105,"High"
6106,"Low"
6107,"High"
6108,"Low"
6109,"High"
6110,"Low"
6111,"High"
6112,"High"
6113,"High"
6114,"High"
6115,"Low"
6116,"High"
6117,"High"
6118,"High"
6119,"High"
6120,"High"
6121,"Low"
6122,"Low"
6123,"Low"
6124,"High"
6125,"High"
6126,"High"
6127,"High"
6128,"High"
6129,"Low"
6130,"High"
6131,"Low"
6132,"High"
6133,"High"
6134,"High"
6135,"High"
6136,"Low"
6137,"High"
6138,"Low"
6139,"High"
6140,"High"
6141,"Low"
6142,"Low"
6143,"High"
6144,"High"
6145,"High"
6146,"High"
6147,"High"
6148,"Low"
6149,"Low"
6150,"High"
6151,"Low"
6152,"High"
6153,"High"
6154,"High"
6155,"High"
6156,"High"
6157,"High"
6158,"High"
6159,"High"
6160,"High"
6161,"Low"
6162,"High"
6163,"High"
6164,"Low"
6165,"Low"
6166,"High"
6167,"Low"
6168,"Low"
6169,"Low"
6170,"Low"
6171,"High"
6172,"High"
